Symbol,Exchange,Company,Currency,Price,Market Cap(Mil),US$ Market Cap($Mil),aEBTIDA*AT,ROE % (5y Median),Market Cap ($M),3 Year Total Revenue Growth Rate
TLK,NYSE,PT Telekomunikasi Indonesia (Persero) Tbk,USD,27.4,27262.105,27262.105,29.58,24.3,27262.11,12.7
TPL,NYSE,Texas Pacific Land Trust,USD,700.16,5443.322,5443.322,99.41,138.21,5443.32,33.9
TREX,NYSE,Trex Co Inc,USD,72.25,4244.994,4244.994,44.61,41.85,4244.99,13
TROW,NAS,T. Rowe Price Group Inc,USD,92.38,21995.678,21995.678,34.3,24.18,21995.68,6.4
TSCO,NAS,Tractor Supply Co,USD,92.32,11269.323,11269.323,29.43,30.55,11269.32,8.3
TSM,NYSE,Taiwan Semiconductor Manufacturing Co Ltd,USD,37.79,185832.349,185832.349,34.95,25.99,185832.35,8.6
TXN,NAS,Texas Instruments Inc,USD,104.55,98815.463,98815.463,46.67,34.77,98815.46,6.7
UBNT,NAS,Ubiquiti Networks Inc,USD,124.53,8821.112,8821.112,34.8,49.42,8821.11,19.5
UL,NYSE,Unilever PLC,USD,54.34,223724.221,223724.221,22.04,35.83,223724.22,5.7
ULTA,NAS,Ulta Beauty Inc,USD,296.06,17559.954,17559.954,33.81,23.79,17559.95,22
URI,NYSE,United Rentals Inc,USD,126.29,10051.558,10051.558,20.57,35.76,10051.56,11.4
USNA,NYSE,Usana Health Sciences Inc,USD,108.51,2601.699,2601.699,39.35,33.01,2601.7,9.8
UTHR,NAS,United Therapeutics Corp,USD,116.48,5077.034,5077.034,27.65,26.47,5077.03,10.2
VRSK,NAS,Verisk Analytics Inc,USD,121.98,20080.365,20080.365,20.01,64.13,20080.37,7.1
VSM,NYSE,Versum Materials Inc,USD,37.01,4038.204,4038.204,28.71,51.89,4038.2,10.8
VVV,NYSE,Valvoline Inc,USD,18.24,3432.414,3432.414,24.29,47.74,3432.41,5.1
WAT,NYSE,Waters Corp,USD,231,17497.261,17497.261,24.46,23.73,17497.26,5.8
YETI,NYSE,YETI Holdings Inc,USD,17.92,1508.794,1508.794,25.03,45.61,1508.79,63
